price_date,commodity_id,price_type,price_currency,price_value,source_name
2020-01-01,CMD-COFFEE-ARABICA,spot,USD,3.28,FAOSTAT
2020-01-01,CMD-BANANA-CAVENDISH,spot,USD,0.36,FAOSTAT
2020-01-01,CMD-COCOA-BEAN,spot,USD,2.15,FAOSTAT
2020-01-01,CMD-PALM-OIL,spot,USD,0.88,FAOSTAT
2020-01-01,CMD-SUGAR-RAW,spot,USD,0.465,FAOSTAT
2020-02-01,CMD-COFFEE-ARABICA,spot,USD,3.36,FAOSTAT
2020-02-01,CMD-BANANA-CAVENDISH,spot,USD,0.37,FAOSTAT
2020-02-01,CMD-COCOA-BEAN,spot,USD,2.2,FAOSTAT
2020-02-01,CMD-PALM-OIL,spot,USD,0.91,FAOSTAT
2020-02-01,CMD-SUGAR-RAW,spot,USD,0.48,FAOSTAT
2020-03-01,CMD-COFFEE-ARABICA,spot,USD,3.44,FAOSTAT
2020-03-01,CMD-BANANA-CAVENDISH,spot,USD,0.38,FAOSTAT
2020-03-01,CMD-COCOA-BEAN,spot,USD,2.25,FAOSTAT
2020-03-01,CMD-PALM-OIL,spot,USD,0.94,FAOSTAT
2020-03-01,CMD-SUGAR-RAW,spot,USD,0.495,FAOSTAT
2020-04-01,CMD-COFFEE-ARABICA,spot,USD,3.52,FAOSTAT
2020-04-01,CMD-BANANA-CAVENDISH,spot,USD,0.39,FAOSTAT
2020-04-01,CMD-COCOA-BEAN,spot,USD,2.3,FAOSTAT
2020-04-01,CMD-PALM-OIL,spot,USD,0.97,FAOSTAT
2020-04-01,CMD-SUGAR-RAW,spot,USD,0.51,FAOSTAT
2020-05-01,CMD-COFFEE-ARABICA,spot,USD,3.6,FAOSTAT
2020-05-01,CMD-BANANA-CAVENDISH,spot,USD,0.4,FAOSTAT
2020-05-01,CMD-COCOA-BEAN,spot,USD,2.35,FAOSTAT
2020-05-01,CMD-PALM-OIL,spot,USD,1.0,FAOSTAT
2020-05-01,CMD-SUGAR-RAW,spot,USD,0.525,FAOSTAT
2020-06-01,CMD-COFFEE-ARABICA,spot,USD,3.68,FAOSTAT
2020-06-01,CMD-BANANA-CAVENDISH,spot,USD,0.41,FAOSTAT
2020-06-01,CMD-COCOA-BEAN,spot,USD,2.4,FAOSTAT
2020-06-01,CMD-PALM-OIL,spot,USD,1.03,FAOSTAT
2020-06-01,CMD-SUGAR-RAW,spot,USD,0.54,FAOSTAT
2020-07-01,CMD-COFFEE-ARABICA,spot,USD,3.76,FAOSTAT
2020-07-01,CMD-BANANA-CAVENDISH,spot,USD,0.42,FAOSTAT
2020-07-01,CMD-COCOA-BEAN,spot,USD,2.45,FAOSTAT
2020-07-01,CMD-PALM-OIL,spot,USD,1.06,FAOSTAT
2020-07-01,CMD-SUGAR-RAW,spot,USD,0.555,FAOSTAT
2020-08-01,CMD-COFFEE-ARABICA,spot,USD,3.84,FAOSTAT
2020-08-01,CMD-BANANA-CAVENDISH,spot,USD,0.43,FAOSTAT
2020-08-01,CMD-COCOA-BEAN,spot,USD,2.5,FAOSTAT
2020-08-01,CMD-PALM-OIL,spot,USD,1.09,FAOSTAT
2020-08-01,CMD-SUGAR-RAW,spot,USD,0.57,FAOSTAT
2020-09-01,CMD-COFFEE-ARABICA,spot,USD,3.92,FAOSTAT
2020-09-01,CMD-BANANA-CAVENDISH,spot,USD,0.44,FAOSTAT
2020-09-01,CMD-COCOA-BEAN,spot,USD,2.55,FAOSTAT
2020-09-01,CMD-PALM-OIL,spot,USD,1.12,FAOSTAT
2020-09-01,CMD-SUGAR-RAW,spot,USD,0.585,FAOSTAT
2020-10-01,CMD-COFFEE-ARABICA,spot,USD,4.0,FAOSTAT
2020-10-01,CMD-BANANA-CAVENDISH,spot,USD,0.45,FAOSTAT
2020-10-01,CMD-COCOA-BEAN,spot,USD,2.6,FAOSTAT
2020-10-01,CMD-PALM-OIL,spot,USD,1.15,FAOSTAT
2020-10-01,CMD-SUGAR-RAW,spot,USD,0.6,FAOSTAT
2020-11-01,CMD-COFFEE-ARABICA,spot,USD,4.08,FAOSTAT
2020-11-01,CMD-BANANA-CAVENDISH,spot,USD,0.46,FAOSTAT
2020-11-01,CMD-COCOA-BEAN,spot,USD,2.65,FAOSTAT
